LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,INTERNAL-ID,GRADE,PHONE_NUMBER,GENDER,GRADYEAR,ADDRESS,SECOND_PHONE,BIRTHDATE,THIRD_PHONE,EMAIL_ADDRESS,DUAL-CREDIT-ELIGIBLE,PROGRAM-OF-STUDY
ALLEN,CORINNE,Kent,19287,217760,9,(428) 684-6370,F,2025,74 West Anderson Street,(636) 459-1321,7/14/2007,(586) 635-4720,fraterk@icloud.com,FALSE,Plant Science
ALLISON,FRANCISCO,Thomas,15066,192462,9,(247) 402-1328,M,2025,851 Smith Street,(779) 581-9994,3/4/2007,(359) 908-4439,rjones@optonline.net,FALSE,Engineering
ALLISON,LUIS-ANGEL,Marguerite,2572,79520,9,(942) 229-3313,M,2025,9991 La Sierra Street,(770) 669-5673,7/4/2007,(473) 816-6864,aprakash@outlook.com,FALSE,Welding
ALMANZA,WILLIAM,Rene,15595,195811,9,(349) 959-2269,M,2025,801 N. Cardinal Dr.,(333) 371-6946,9/23/2007,(966) 896-3980,paina@aol.com,FALSE,Plant Science
ALVAREZ,KYRA,Finn,34548,291445,9,(772) 355-7715,F,2025,10 Paris Hill Rd.,(252) 648-8266,6/18/2007,(568) 302-5828,jginspace@att.net,FALSE,Applied Agricultural Engineering
ANDERSON,FRANK,Lane,29088,267425,11,(344) 896-5711,M,2023,385 Hickory St.,(525) 757-1228,12/19/2005,(447) 665-2780,jdhedden@gmail.com,FALSE,Emergency Services
ANDERSON,ANDY,Julian,25690,251320,12,(628) 433-1573,M,2022,605 Beech St.,(918) 557-6588,12/21/2004,(348) 542-7889,frostman@att.net,FALSE,Design and Multimedia Arts
ANZALDUA,RYAN,Robin,28695,265612,10,(433) 384-2686,M,2024,44 Creek Street,(854) 375-6610,10/16/2006,(220) 314-6557,garland@att.net,FALSE,Teaching and Training
ARCEO,JOSE,June,25059,248214,12,(258) 216-0831,M,2022,612 East Surrey Street,(566) 412-9240,10/9/2004,(974) 437-4415,flavell@optonline.net,TRUE,Programming and Software Development
ARGUETA,ARCADIO,Janetta,33286,286072,9,(656) 584-1804,M,2025,19 Warren St.,(649) 545-5821,6/4/2007,(933) 395-4159,mnemonic@yahoo.ca,FALSE,Healthcare Informatics
ARGUETA,CHRISTOPHER,Raven,31861,279882,9,(286) 357-2285,M,2025,260 Sulphur Springs Avenue,(640) 217-4636,8/12/2007,(536) 938-5401,jramio@live.com,FALSE,Law Enforcement
AYALA,JENNYFER,Naveen,33907,288729,12,(852) 478-0723,F,2022,144 Snake Hill Street,(262) 597-5916,9/8/2004,(625) 596-6723,samavati@mac.com,FALSE,Engineering
AYALA,EMILIANO,Hollyn,24874,247297,12,(801) 306-0656,M,2022,614 Beech Lane,(616) 752-3225,7/5/2004,(363) 477-1393,hakim@comcast.net,FALSE,Emergency Services
BAILEY,ANGEL,Ricardo,15071,192493,9,(792) 593-3457,M,2025,8496 Trusel St.,(324) 581-9432,7/21/2007,(747) 722-8662,jeffcovey@icloud.com,FALSE,Diesel and Heavy Equipment
BAILEY,CARLOS,Lawrence,15069,192481,9,(674) 470-5829,M,2025,85 NW. Chapel Ave.,(979) 721-0667,3/5/2007,(208) 417-3043,techie@me.com,FALSE,Architectural Design
BALDERAS,GRACIE,Daniel,5289,114033,11,(741) 450-4844,F,2023,9540 Second Avenue,(301) 916-5408,3/21/2005,(591) 795-2763,claesjac@comcast.net,FALSE,Nursing Science
BALDWIN,ENRIQUE,Elijah,19391,218346,10,(285) 896-9520,M,2024,7366 South Beechwood St.,(896) 901-8546,10/27/2006,(809) 404-9413,ngedmond@mac.com,FALSE,Culinary Arts
BALDWIN,JONATHAN,Brandt,2714,81686,11,(305) 420-8795,M,2023,9932 Gates Rd.,(347) 978-7952,3/20/2005,(615) 589-8301,wkrebs@sbcglobal.net,FALSE,Legal Studies
BANKS,MONICA,Sophia,15086,192589,9,(457) 788-2487,F,2025,8470 Rocky River Dr.,(465) 669-4044,4/6/2007,(390) 791-1155,seemant@msn.com,FALSE,Plant Science
BANKS,LUCAS,Fernando,2865,83928,10,(730) 619-4080,M,2024,993 Bank Dr.,(911) 238-8748,11/25/2006,(656) 920-4788,formis@icloud.com,FALSE,Healthcare Therapeutic
BARNETT,ELY,Felix,23090,238263,9,(412) 447-8575,F,2025,67 George Drive,(928) 329-1193,6/25/2007,(419) 700-4358,subir@msn.com,FALSE,Plant Science
BARNETT,JUSTIN,Ann,22245,233863,9,(571) 976-6500,M,2025,69 Winchester Dr.,(351) 585-6565,8/13/2007,(691) 968-3497,akoblin@yahoo.ca,FALSE,Accounting and Financial Services
BARRON,JADON,Tanner,5447,115724,11,(422) 461-8614,M,2023,950 East Annadale St.,(990) 544-4281,7/27/2005,(614) 204-5251,jfreedma@live.com,FALSE,Design and Multimedia Arts
BECERRA MARTINEZ,LOGAN,Brooke,15621,195974,9,(204) 229-9108,M,2025,7987 Richardson Lane,(286) 290-4015,2/26/2007,(511) 497-3519,calin@verizon.net,FALSE,Healthcare Informatics
BENNETT,SANAA,Krystan,23435,240037,10,(296) 907-6326,F,2024,66 Del Monte Lane,(918) 359-0719,8/8/2006,(863) 432-8507,heckerman@msn.com,FALSE,Programming and Software Development
BERNAL,JAMAR,Thomas,33924,288801,11,(821) 419-2981,M,2023,14 Willow Dr.,(274) 265-6152,7/14/2005,(462) 645-8703,mdielmann@comcast.net,FALSE,Plumbing and Piperfitting
BIBIAN,ALEJANDRINA,Ray,25939,252535,12,(919) 581-9284,F,2022,6 Cross St.,(812) 760-5966,10/25/2004,(438) 409-1838,eurohack@icloud.com,FALSE,Healthcare Therapeutic
BLAISE,JARON,Brighton,30973,275954,12,(854) 907-7790,M,2022,308 N. Sleepy Hollow Circle,(282) 724-7182,4/13/2004,(511) 653-8712,stinson@verizon.net,TRUE,Healthcare Informatics
BONDS,SEBASTIAN,Drake,34551,291458,9,(306) 251-7531,M,2025,1 Rose Street,(973) 445-0943,11/17/2007,(815) 354-8826,jemarch@me.com,FALSE,Legal Studies
BONNER,SELENA,Evelyn,7085,131982,12,(837) 927-5578,F,2022,9147 Greenrose Street,(817) 540-1621,7/27/2004,(451) 932-9071,bogjobber@att.net,TRUE,Plant Science
BOURNE,PRICILA,Abraham,18917,215661,10,(959) 273-6910,F,2024,750 Mayfair Street,(980) 227-9323,5/19/2006,(613) 664-6904,mwilson@att.net,FALSE,Accounting and Financial Services
BOURNE,FERNANDO,Lane,15026,192206,10,(655) 289-7023,M,2024,8564 Cactus Ave.,(293) 901-3377,3/1/2006,(466) 210-7465,stecoop@yahoo.com,FALSE,Nursing Science
BRADFORD,NIYAH,Byron,28070,262704,10,(902) 858-9697,F,2024,517 Cherry Lane,(754) 496-8307,4/17/2006,(635) 312-7603,jelmer@mac.com,FALSE,Design and Multimedia Arts
BRADY,ALEXANDRA,Mirabel,3354,90808,10,(867) 918-6039,F,2024,9828 Birch Hill Circle,(337) 480-5110,1/25/2006,(722) 549-9104,ryanshaw@outlook.com,FALSE,Animal Science
BRADY,MARITZA,Gillian,3264,89582,12,(202) 970-0959,F,2022,9878 Gonzales Drive,(492) 992-2284,6/15/2004,(538) 955-7774,grolschie@yahoo.ca,FALSE,Engineering
BRENNAN,CRISTIAN,Annabel,20729,225753,9,(219) 821-3954,M,2025,7145 Proctor Street,(591) 780-0559,7/20/2007,(889) 892-3094,parasite@live.com,FALSE,Diesel and Heavy Equipment
BRENNAN,GENESIS,Rose,19715,220163,9,(354) 408-7169,F,2025,727 Center St.,(747) 758-6241,9/25/2007,(589) 319-0523,peterhoeg@gmail.com,FALSE,Teaching and Training
BRIAGAS,CAVECIA,Oren,28494,264681,12,(519) 541-8434,F,2022,462 South 2nd Ave.,(664) 888-9763,12/2/2004,(588) 636-1708,andrei@yahoo.ca,FALSE,Plant Science
BRIZUELA-CABALLERO,JOHN,Glenn,14746,190407,10,(325) 400-1071,M,2024,887 N. Yukon St.,(652) 662-0198,7/6/2006,(352) 530-3502,luvirini@sbcglobal.net,FALSE,Architectural Design
BRODE,JAZMYNN,Robert,31805,279636,12,(369) 607-1584,F,2022,269 North Taylor Ave.,(850) 443-8954,5/7/2004,(644) 228-7112,aardo@me.com,FALSE,Cosmetology 
BROWN,JULIAN,Lyson,33718,287923,11,(370) 568-9785,M,2023,153 Linda St.,(851) 417-3709,6/16/2005,(492) 484-2898,dinther@yahoo.com,TRUE,Healthcare Informatics
BROWN,KATHERINE,Emeline,31153,276755,12,(720) 747-2342,F,2022,30 Sierra Street,(581) 519-7518,8/1/2004,(244) 305-3498,dbindel@icloud.com,FALSE,Digital Communications
BURKE,ALEX,Elodie,22921,237390,9,(290) 280-1477,M,2025,673 Willow Dr.,(960) 727-0019,9/21/2007,(515) 455-7831,kidehen@att.net,FALSE,Welding
BURKE,JULIEANNA,Sheridan,3746,95968,10,(590) 943-5460,F,2024,9827 SW. Piper Lane,(503) 640-4158,1/12/2006,(602) 727-0905,mallanmba@yahoo.com,FALSE,Family and Consumer Services
BURNETT,DANIEL,Lashon,34315,290461,9,(357) 961-4888,M,2025,125 Bishop Dr.,(556) 698-2385,11/13/2007,(573) 464-3514,gastown@aol.com,FALSE,Applied Agricultural Engineering
BYERS,KENDRICK,Rayleen,32905,284431,12,(496) 928-4779,M,2022,205 Harvard Ave.,(389) 715-5491,5/25/2004,(254) 283-0644,rohitm@me.com,FALSE,Plumbing and Piperfitting
BYRD,SERGIO,Gabriel,27019,257739,11,(599) 277-2604,M,2023,57 San Pablo Ave.,(334) 402-0144,8/20/2005,(548) 257-9976,ullman@outlook.com,TRUE,Accounting and Financial Services
BYRD,MICHELLE,Emerson,19983,221654,10,(257) 978-5407,F,2024,7244 St Louis Rd.,(855) 823-1348,9/23/2006,(705) 953-2448,ardagna@gmail.com,FALSE,Healthcare Therapeutic
BYRD,ASHLYN,Madeleine,6177,123235,12,(430) 240-6020,F,2022,936 Hill Dr.,(886) 749-2453,8/26/2004,(257) 880-2976,arachne@optonline.net,FALSE,Law Enforcement
CABRERA,FREDRIEL,Coralie,28852,266338,10,(203) 323-8882,F,2024,40 Division Road,(889) 595-5839,6/24/2006,(659) 219-8496,rgarton@comcast.net,FALSE,Animal Science
CANDLER,DAVONTA,Blake,6195,123414,11,(347) 292-7232,M,2023,9344 Lake View St.,(512) 287-4906,3/9/2005,(349) 291-9834,csilvers@gmail.com,FALSE,Applied Agricultural Engineering
CANTU,NAISA,Allison,15022,192180,9,(936) 889-6725,F,2025,8627 Gonzales St.,(781) 532-3793,11/12/2007,(883) 489-3408,techie@live.com,FALSE,Legal Studies
CANTU GARCIA,ANGEL,Bianca,19133,216889,9,(718) 365-8086,M,2025,7457 Pennsylvania Lane,(785) 725-7358,7/19/2007,(470) 236-2477,esokullu@yahoo.ca,FALSE,Digital Communications
CARPENTER,ALEJANDRO,Kalan,18769,214816,11,(648) 246-2093,M,2023,7575 Cypress Street,(641) 830-5751,6/22/2005,(873) 265-1048,aardo@sbcglobal.net,FALSE,Law Enforcement
CARPENTER,IVAN,Ellen,7284,133823,11,(998) 895-8555,M,2023,91 Valley View Street,(279) 262-3493,2/6/2005,(505) 834-5809,wayward@yahoo.com,FALSE,Nursing Science
CARTER,BATTIST,Eloise,20423,224081,9,(590) 832-1379,M,2025,719 Airport Drive,(909) 399-4028,4/10/2007,(773) 233-9456,lushe@optonline.net,FALSE,Plumbing and Piperfitting
CASTILLO,CHRISTOPHER,Sheridan,27938,262085,10,(539) 942-9392,M,2024,52 SE. Paris Hill Street,(586) 337-0726,5/10/2006,(945) 771-5729,conteb@verizon.net,FALSE,Plumbing and Piperfitting
CASTILLO,BOBBY,Lane,6244,123901,10,(729) 204-0022,M,2024,9322 Hawthorne Street,(895) 200-0615,10/3/2006,(301) 890-6109,sscorpio@att.net,FALSE,Emergency Services
CASTILLO ESTRELLADO,PATRICK,Ellison,6260,124060,12,(317) 777-6057,M,2022,9318 Old Honey Creek Ave.,(418) 909-3746,5/25/2004,(403) 730-0040,stern@gmail.com,FALSE,Automotive
CASTRO,MIA,Murphy,19621,219637,9,(862) 328-6333,F,2025,73 Bayport St.,(682) 611-6054,10/3/2007,(912) 475-1004,citadel@hotmail.com,FALSE,Teaching and Training
CASTRO,TRISTAN,Verena,18705,214449,9,(362) 537-0114,M,2025,7606 Rockland St.,(936) 570-4792,4/3/2007,(491) 962-3986,penna@att.net,FALSE,Culinary Arts
CHAPA,MARISSA,Trevor,21999,232566,9,(286) 682-5012,F,2025,705 Richardson Lane,(739) 681-4615,9/12/2007,(513) 516-5430,jaxweb@yahoo.com,FALSE,Cosmetology 
CHARLES,EDUARDO,Eli,27143,258330,9,(933) 335-9850,M,2025,556 Windsor Drive,(385) 212-5425,1/26/2007,(791) 871-4358,storerm@sbcglobal.net,FALSE,Healthcare Informatics
CHARLES,TRISTAN,Oscar,6350,124949,10,(287) 872-8982,M,2024,9305 Golden Star Ave.,(396) 683-6187,9/24/2006,(744) 218-1457,rfoley@yahoo.ca,FALSE,Family and Consumer Services
CHAVEZ,JAMARI,Randall,34534,291386,10,(964) 361-3168,M,2024,11 Andover Ave.,(209) 219-8085,11/8/2006,(597) 708-6423,tezbo@aol.com,FALSE,Automotive
CHAVEZ,NICHOLAS,Shane,31953,280286,11,(272) 533-9939,M,2023,26 Yukon Dr.,(913) 479-8330,5/8/2005,(840) 814-7004,retoh@hotmail.com,TRUE,Cosmetology 
CHAVEZ,ARIANA,Clark,30608,274323,9,(649) 842-2130,F,2025,34 S. Indian Spring Ave.,(723) 376-3017,6/10/2007,(594) 217-0632,bradl@gmail.com,FALSE,Teaching and Training
CHAVEZ,ANTHONY,Kathryn,29634,269923,12,(770) 761-8434,M,2022,378 Rockledge St.,(876) 796-7200,1/12/2004,(245) 865-3402,jshirley@live.com,FALSE,Healthcare Therapeutic
CHAVEZ,EFREN,Javan,22232,233795,10,(500) 791-6967,M,2024,695 Race Dr.,(315) 684-0767,9/8/2006,(881) 569-0849,crimsane@sbcglobal.net,FALSE,Healthcare Diagnostics
CHICAS,JACOLBY,Hope,5605,117390,11,(272) 333-0679,M,2023,9430 Railroad Lane,(682) 672-6246,6/3/2005,(656) 645-5457,plover@hotmail.com,FALSE,Programming and Software Development
CLARK,DARIUES,Lynn,33602,287427,11,(389) 964-9046,M,2023,178 E. Pawnee Lane,(957) 422-2156,11/19/2005,(753) 629-9547,mglee@yahoo.ca,FALSE,Applied Agricultural Engineering
CLARK,BRIONNA,Damien,30909,275669,10,(673) 724-7610,F,2024,318 Brown Dr.,(209) 306-7878,9/4/2006,(220) 604-0519,tmaek@mac.com,FALSE,Design and Multimedia Arts
CLAY,ALYSSA,Dezi,5613,117474,10,(667) 244-4453,F,2024,940 Bedford Road,(933) 459-1802,10/22/2006,(363) 879-2957,kempsonc@optonline.net,FALSE,Cybersecurity
CLAYTON,NICHOLAS,Lucinda,33898,288690,12,(640) 287-6688,M,2022,15 Fairfield Rd.,(799) 955-2260,11/11/2004,(901) 214-8814,ahmad@optonline.net,FALSE,Design and Multimedia Arts
COLE,ESMERALDA,Edward,7923,139569,11,(287) 460-5674,F,2023,9011 Catherine Ave.,(501) 387-5915,11/2/2005,(995) 822-4647,singh@att.net,FALSE,Law Enforcement
COLEMAN,GAEL,Dash,23476,240247,10,(847) 247-4179,M,2024,658 Princeton Lane,(958) 896-0217,11/6/2006,(624) 542-7966,jfreedma@icloud.com,FALSE,Plumbing and Piperfitting
COLEMAN,JACOB,Oliver,18615,213932,9,(624) 460-3629,M,2025,7696 Shore Street,(270) 670-3863,12/8/2007,(243) 207-3451,dprice@att.net,FALSE,Healthcare Informatics
COLLINS,ROLANDO,Judd,15111,192749,9,(671) 209-7577,M,2025,8451 Carriage Lane,(371) 768-8770,6/11/2007,(806) 475-2764,animats@mac.com,FALSE,Nursing Science
COLLINS,EVELIN,Jacklyn,4311,102952,10,(735) 963-0699,F,2024,9811 Cambridge Rd.,(737) 472-7835,11/6/2006,(447) 338-4360,bryanw@live.com,FALSE,Family and Consumer Services
COLOMB,JASON,Kai,28142,263041,9,(523) 241-4743,M,2025,50 Thorne Ave.,(934) 312-4169,8/21/2007,(424) 463-7950,credmond@att.net,FALSE,Programming and Software Development
CONTRERAS,KIMBERLY,Levi,30419,273475,9,(361) 606-7156,F,2025,349 Spring St.,(594) 315-2220,2/20/2007,(930) 465-0748,curly@me.com,FALSE,Plant Science
CONTRERAS,MAKALLIA,Raven,8035,140552,10,(324) 396-2516,F,2024,9 North Border Court,(367) 360-4002,5/15/2006,(500) 273-9766,jipsen@icloud.com,FALSE,Applied Agricultural Engineering
CONYER,CHRISTOPHER,Arthur,33676,287744,11,(943) 673-4576,M,2023,16 Pulaski Ave.,(437) 259-5324,12/3/2005,(931) 270-0517,bulletin@me.com,FALSE,Legal Studies
CORTINA,ANTHONY,Mirabel,27888,261851,9,(932) 279-4825,M,2025,521 East Ryan St.,(808) 921-8234,5/5/2007,(953) 776-5318,noticias@att.net,FALSE,Emergency Services
CROSSEN,TUBOBELEM,Oren,4924,110028,11,(971) 865-4062,F,2023,967 W. Alton Ave.,(672) 292-6414,11/18/2005,(840) 376-7278,jhardin@msn.com,FALSE,Teaching and Training
CRUZ PERALTA,JAVEION,Sue,19334,218025,9,(647) 530-5954,M,2025,7376 Snake Hill Rd.,(381) 634-5241,10/24/2007,(481) 219-8950,skythe@yahoo.com,FALSE,Engineering
CUNNINGHAM,MARLEN,Trey,15115,192774,9,(431) 656-8390,F,2025,8447 Heather Avenue,(239) 684-9224,8/21/2007,(268) 676-3924,noticias@sbcglobal.net,FALSE,Architectural Design
CUNNINGHAM,KEVIN,Dex,4512,105324,12,(953) 969-9814,M,2022,9732 Snake Hill Rd.,(455) 973-3241,12/22/2004,(778) 282-2447,gamma@verizon.net,FALSE,Welding
DANIELS,YVONNE,Drake,15235,193538,9,(713) 451-5636,F,2025,826 S. Maiden Dr.,(375) 674-6013,10/2/2007,(779) 424-4346,erynf@comcast.net,FALSE,Digital Communications
DANIELS,ALEXIA,Coralie,14877,191251,9,(325) 561-4056,F,2025,8696 La Sierra Dr.,(646) 758-4633,6/12/2007,(309) 922-6669,dhwon@mac.com,FALSE,Diesel and Heavy Equipment
DAVIS,JAIME,Justice,25689,251315,10,(879) 269-9186,M,2024,605 Front Road,(404) 456-8486,11/1/2006,(210) 920-2360,juliano@aol.com,FALSE,Plumbing and Piperfitting
DAVIS,GEMA,Charles,15126,192844,9,(423) 216-6210,F,2025,8442 Hilltop St.,(268) 838-2987,7/13/2007,(791) 608-6539,kimvette@sbcglobal.net,FALSE,Animal Science
DE LA ROSA CASTILLO,AMANDA,Payten,30340,273120,11,(527) 205-5072,F,2023,351 Smith Store Street,(940) 975-9627,10/15/2005,(958) 225-8714,froodian@sbcglobal.net,FALSE,Cybersecurity
DELGADO,NATALY,Zoe,14881,191276,9,(841) 457-2508,F,2025,8686 Tanglewood Ave.,(302) 327-8655,6/26/2007,(415) 621-6472,farber@yahoo.com,FALSE,Programming and Software Development
DELGADO,MAURICIO,Coy,4868,109401,10,(742) 381-8139,M,2024,9713 Henry Court,(792) 736-2957,6/22/2006,(678) 394-8920,jramio@att.net,FALSE,Architectural Design
DIAZ,BRITTANY,Heath,25917,252428,9,(944) 822-9096,F,2025,6 Rock Maple Drive,(579) 842-1667,10/16/2007,(270) 682-6321,hling@gmail.com,FALSE,Cosmetology 
DIAZ,JOSE,Natalie,5798,119394,12,(960) 912-7138,M,2022,9392 South Dunbar Street,(874) 895-7179,9/23/2004,(413) 734-8965,tarreau@yahoo.com,FALSE,Applied Agricultural Engineering
DIAZ,MARCELO,Will,4934,110140,11,(653) 521-3773,M,2023,9642 Bedford Ave.,(203) 677-7638,10/20/2005,(760) 700-2055,irving@live.com,FALSE,Legal Studies
DIAZ,SOPHIA,Neil,4879,109524,10,(540) 242-8083,F,2024,97 Miller Ave.,(335) 531-2878,4/24/2006,(855) 413-8586,retoh@live.com,FALSE,Legal Studies
DOMINGUEZ,CALEB,Xavier,27429,259687,10,(840) 884-7306,M,2024,539 Madison Dr.,(296) 309-5038,3/23/2006,(984) 750-2767,louise@live.com,FALSE,Healthcare Therapeutic
DOUGLAS,BRYAN,Leonie,19202,217279,9,(809) 593-4458,M,2025,7451 Smith Drive,(994) 590-0674,10/21/2007,(460) 668-5447,krueger@att.net,FALSE,Plumbing and Piperfitting
DOUGLAS,JONIS,Miriam,4998,110852,11,(968) 672-5002,M,2023,9632 San Carlos Lane,(964) 408-6976,7/27/2005,(692) 759-3363,matthijs@yahoo.ca,FALSE,Healthcare Therapeutic
DUNN,CESAR,Beck,12795,177364,9,(839) 286-4663,M,2025,89 Parker St.,(223) 306-7458,4/16/2007,(995) 443-7242,lcheng@yahoo.com,FALSE,Law Enforcement
DUNN,BRYAN,Blaise,5033,111239,12,(414) 214-2889,M,2022,96 Rockland Lane,(698) 791-2856,8/20/2004,(405) 847-0391,singh@yahoo.ca,FALSE,Healthcare Diagnostics
DURAN,CAILA,Francis,30786,275120,9,(272) 671-7664,F,2025,32 Indian Spring Ave.,(872) 988-6022,7/3/2007,(601) 950-6043,matty@sbcglobal.net,FALSE,Law Enforcement
ESTRADA,SHYVONNA,Joanna,14738,190355,9,(595) 971-0405,F,2025,8880 Hillside Street,(893) 246-7270,4/7/2007,(385) 956-1698,feamster@gmail.com,FALSE,Programming and Software Development
ESTRADA HERNANDEZ,GABRIELLE,Taylore,26542,255454,12,(639) 712-6390,F,2022,590 Carpenter Street,(988) 668-8555,1/10/2004,(247) 932-8238,dimensio@yahoo.com,FALSE,Plumbing and Piperfitting
EVANS,DAMARIS,Quintin,16257,199924,9,(319) 243-5702,F,2025,7826 Theatre Street,(546) 644-4552,2/1/2007,(851) 891-4036,joelw@optonline.net,FALSE,Cybersecurity
EVANS,IVAN,Blair,14966,191822,9,(796) 236-8413,M,2025,8640 Studebaker Ave.,(899) 561-0352,9/6/2007,(928) 744-4765,wenzlaff@verizon.net,FALSE,Design and Multimedia Arts
FIGUEROA,JORDAN,Dawn,15134,192895,9,(286) 768-1016,M,2025,8400 Prince St.,(204) 971-2875,3/20/2007,(927) 780-7637,giafly@icloud.com,FALSE,Teaching and Training
FIGUEROA,JOHN,Clementine,5076,111713,10,(284) 400-7880,M,2024,9598 San Pablo Street,(325) 801-2231,8/17/2006,(889) 867-2991,mfleming@mac.com,FALSE,Emergency Services
FISHER,KATHERINE,Marcellus,25831,252009,10,(580) 411-2724,F,2024,60 Wrangler Lane,(494) 377-2243,9/16/2006,(975) 732-2781,garyjb@comcast.net,FALSE,Design and Multimedia Arts
FISHER,SEBASTIAN,Aiden,19040,216361,9,(932) 907-6562,M,2025,749 Second St.,(887) 884-4402,2/25/2007,(354) 968-5020,research@mac.com,FALSE,Healthcare Informatics
FLEMING,ISAC,Robin,5169,112732,10,(726) 682-4910,M,2024,9550 Creekside Drive,(908) 340-8179,4/18/2006,(939) 460-7486,kobayasi@outlook.com,FALSE,Automotive
FLEMING,JESUS,Merle,5122,112218,10,(658) 877-6731,M,2024,959 Marsh St.,(859) 335-4468,5/5/2006,(472) 342-7868,pgottsch@yahoo.ca,FALSE,Biomedical Science
FLETCHER,ADOLFO,Tyson,28183,263232,12,(506) 496-5927,M,2022,50 Glenholme Drive,(565) 379-1502,3/26/2004,(652) 770-3432,amimojo@mac.com,FALSE,Biomedical Science
FLETCHER,JONATHAN,Riley,5204,113113,10,(896) 313-5177,M,2024,9542 New Lane,(486) 822-2270,1/27/2006,(966) 927-5287,fmerges@verizon.net,FALSE,Digital Communications
FLORES,ROBERT,Benjamin,33309,286171,11,(357) 758-7443,M,2023,19 Argyle Dr.,(817) 282-4690,2/17/2005,(419) 543-3304,sarahs@me.com,FALSE,Legal Studies
FLORES,STACY,Merle,28694,265608,11,(400) 803-5634,F,2023,44 Vernon Road,(919) 804-1893,8/24/2005,(337) 767-4448,willg@mac.com,FALSE,Family and Consumer Services
FLORES,BRYLON,Zion,26942,257371,10,(673) 253-9908,M,2024,583 South Rose St.,(246) 206-2593,5/2/2006,(954) 352-5261,caidaperl@verizon.net,FALSE,Plumbing and Piperfitting
FOX,ERIK,Brendon,32218,281446,12,(637) 887-3060,M,2022,24 Glen Eagles Street,(892) 570-2682,12/16/2004,(780) 349-5440,yxing@me.com,FALSE,Plant Science
FOX,ASHLEY,Myron,5310,114259,10,(679) 417-4358,F,2024,9537 Mill Pond St.,(624) 323-8779,12/10/2006,(254) 492-0156,rattenbt@att.net,FALSE,Nursing Science
FRUTIZ,CHAD,Luke,14761,190503,9,(490) 460-5229,M,2025,886 Bear Hill Dr.,(566) 302-1768,4/1/2007,(352) 466-3395,dcoppit@yahoo.com,FALSE,Welding
