LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,INTERNAL-ID,GRADE,PHONE_NUMBER,GENDER,GRADYEAR,ADDRESS,SECOND_PHONE,BIRTHDATE,THIRD_PHONE,EMAIL_ADDRESS,DUAL-CREDIT-ELIGIBLE,PROGRAM-OF-STUDY,HISTORY,SCHEDULE
ANZALDUA,RYAN,Robin,28695,265612,10,(433) 384-2686,M,2024,44 Creek Street,(854) 375-6610,10/16/2006,(220) 314-6557,garland@att.net,FALSE,Business Management,Pre-AP English I;Algebra I;World Geography;Biology;Business Information Management I,null;null;null;null;null;null;null;null
BAILEY,CARLOS,Lawrence,15069,192481,9,(674) 470-5829,M,2025,85 NW. Chapel Ave.,(979) 721-0667,3/5/2007,(208) 417-3043,techie@me.com,FALSE,Applied Agricultural Engineering,null,null;null;null;null;null;null;null;null
BANKS,MONICA,Sophia,15086,192589,9,(457) 788-2487,F,2025,8470 Rocky River Dr.,(465) 669-4044,4/6/2007,(390) 791-1155,seemant@msn.com,FALSE,Plant Science,null,null;null;null;null;null;null;null;null
BARNETT,ELY,Felix,23090,238263,9,(412) 447-8575,F,2025,67 George Drive,(928) 329-1193,6/25/2007,(419) 700-4358,subir@msn.com,FALSE,Plant Science,null,null;null;null;null;null;null;null;null
BARNETT,JUSTIN,Ann,22245,233863,9,(571) 976-6500,M,2025,69 Winchester Dr.,(351) 585-6565,8/13/2007,(691) 968-3497,akoblin@yahoo.ca,FALSE,Accounting and Financial Services,null,null;null;null;null;null;null;null;null
BARRON,JADON,Tanner,5447,115724,11,(422) 461-8614,M,2023,950 East Annadale St.,(990) 544-4281,7/27/2005,(614) 204-5251,jfreedma@live.com,FALSE,Design and Multimedia Arts,English I;English II;Journalism;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Principles of Arts Audio/Video Technology and Communications;Graphic Design and Illustration I,null;null;null;null;null;null;null;null
BONNER,SELENA,Evelyn,7085,131982,12,(837) 927-5578,F,2022,9147 Greenrose Street,(817) 540-1621,7/27/2004,(451) 932-9071,bogjobber@att.net,TRUE,Plant Science,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;World History;Biology;Chemistry;Physics;Principles of Agriculture Food & Natural Resources;Horticultural Science;Floral Design,null;null;null;null;null;null;null;null
BOURNE,PRICILA,Abraham,18917,215661,10,(959) 273-6910,F,2024,750 Mayfair Street,(980) 227-9323,5/19/2006,(613) 664-6904,mwilson@att.net,FALSE,Accounting and Financial Services,English I;Algebra I;World Geography;Biology;Principles of Business; Marketing; and Finance,null;null;null;null;null;null;null;null
BRADFORD,NIYAH,Byron,28070,262704,10,(902) 858-9697,F,2024,517 Cherry Lane,(754) 496-8307,4/17/2006,(635) 312-7603,jelmer@mac.com,FALSE,Design and Multimedia Arts,English I;Algebra I;World Geography;Biology;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
BRADY,ALEXANDRA,Mirabel,3354,90808,10,(867) 918-6039,F,2024,9828 Birch Hill Circle,(337) 480-5110,1/25/2006,(722) 549-9104,ryanshaw@outlook.com,FALSE,Animal Science,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
BRENNAN,GENESIS,Rose,19715,220163,9,(354) 408-7169,F,2025,727 Center St.,(747) 758-6241,9/25/2007,(589) 319-0523,peterhoeg@gmail.com,FALSE,Business Management,null,null;null;null;null;null;null;null;null
BRIAGAS,CAVECIA,Oren,28494,264681,12,(519) 541-8434,F,2022,462 South 2nd Ave.,(664) 888-9763,12/2/2004,(588) 636-1708,andrei@yahoo.ca,FALSE,Plant Science,Pre-AP English I;Pre AP English II;AP English III Language and Composition;Algebra I;Geometry;Algebra II;World Geography;World History;Biology;Chemistry;Physics;Principles of Agriculture Food & Natural Resources;Horticultural Science;Floral Design,null;null;null;null;null;null;null;null
BRIZUELA-CABALLERO,JOHN,Glenn,14746,190407,10,(325) 400-1071,M,2024,887 N. Yukon St.,(652) 662-0198,7/6/2006,(352) 530-3502,luvirini@sbcglobal.net,FALSE,Applied Agricultural Engineering,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
BROWN,KATHERINE,Emeline,31153,276755,12,(720) 747-2342,F,2022,30 Sierra Street,(581) 519-7518,8/1/2004,(244) 305-3498,dbindel@icloud.com,FALSE,Digital Communications,Pre-AP English I;Pre AP English II;AP English III Language and Composition;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Professional Communications;Audio/Video Production I;Audio/Video Production II;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
BURKE,ALEX,Elodie,22921,237390,9,(290) 280-1477,M,2025,673 Willow Dr.,(960) 727-0019,9/21/2007,(515) 455-7831,kidehen@att.net,FALSE,Welding,null,null;null;null;null;null;null;null;null
BURNETT,DANIEL,Lashon,34315,290461,9,(357) 961-4888,M,2025,125 Bishop Dr.,(556) 698-2385,11/13/2007,(573) 464-3514,gastown@aol.com,FALSE,Architectural Design,null,null;null;null;null;null;null;null;null
BYRD,SERGIO,Gabriel,27019,257739,11,(599) 277-2604,M,2023,57 San Pablo Ave.,(334) 402-0144,8/20/2005,(548) 257-9976,ullman@outlook.com,TRUE,Accounting and Financial Services,English I;English II;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Principles of Business; Marketing; and Finance;Accounting I;Business Information Management I,null;null;null;null;null;null;null;null
CABRERA,FREDRIEL,Coralie,28852,266338,10,(203) 323-8882,F,2024,40 Division Road,(889) 595-5839,6/24/2006,(659) 219-8496,rgarton@comcast.net,FALSE,Animal Science,English I;Journalism;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
CANDLER,DAVONTA,Blake,6195,123414,11,(347) 292-7232,M,2023,9344 Lake View St.,(512) 287-4906,3/9/2005,(349) 291-9834,csilvers@gmail.com,FALSE,Architectural Design,English I;English II;Algebra I;Geometry;World Geography;World History;Biology;Chemistry;Principles of Architecture;Architectural Design I,null;null;null;null;null;null;null;null
CANTU GARCIA,ANGEL,Bianca,19133,216889,9,(718) 365-8086,M,2025,7457 Pennsylvania Lane,(785) 725-7358,7/19/2007,(470) 236-2477,esokullu@yahoo.ca,FALSE,Digital Communications,null,null;null;null;null;null;null;null;null
CASTRO,MIA,Murphy,19621,219637,9,(862) 328-6333,F,2025,73 Bayport St.,(682) 611-6054,10/3/2007,(912) 475-1004,citadel@hotmail.com,FALSE,Business Management,null,null;null;null;null;null;null;null;null
CHAVEZ,ARIANA,Clark,30608,274323,9,(649) 842-2130,F,2025,34 S. Indian Spring Ave.,(723) 376-3017,6/10/2007,(594) 217-0632,bradl@gmail.com,FALSE,Business Management,null,null;null;null;null;null;null;null;null
CLARK,DARIUES,Lynn,33602,287427,11,(389) 964-9046,M,2023,178 E. Pawnee Lane,(957) 422-2156,11/19/2005,(753) 629-9547,mglee@yahoo.ca,FALSE,Architectural Design,Pre-AP English I;Pre-AP English II;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Principles of Architecture;Architectural Design I,null;null;null;null;null;null;null;null
CLARK,BRIONNA,Damien,30909,275669,10,(673) 724-7610,F,2024,318 Brown Dr.,(209) 306-7878,9/4/2006,(220) 604-0519,tmaek@mac.com,FALSE,Design and Multimedia Arts,English I;Journalism;Algebra I;World Geography;Biology;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
CLAYTON,NICHOLAS,Lucinda,33898,288690,12,(640) 287-6688,M,2022,15 Fairfield Rd.,(799) 955-2260,11/11/2004,(901) 214-8814,ahmad@optonline.net,FALSE,Design and Multimedia Arts,Pre-AP English I;Pre AP English II;AP English III Language and Composition;Journalism;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Arts Audio/Video Technology and Communications;Graphic Design and Illustration I;Graphic Design and Illustration II with Lab,null;null;null;null;null;null;null;null
CONTRERAS,KIMBERLY,Levi,30419,273475,9,(361) 606-7156,F,2025,349 Spring St.,(594) 315-2220,2/20/2007,(930) 465-0748,curly@me.com,FALSE,Plant Science,null,null;null;null;null;null;null;null;null
CONTRERAS,MAKALLIA,Raven,8035,140552,10,(324) 396-2516,F,2024,9 North Border Court,(367) 360-4002,5/15/2006,(500) 273-9766,jipsen@icloud.com,FALSE,Architectural Design,English I;Algebra I;World Geography;Biology;Principles of Architecture,null;null;null;null;null;null;null;null
CROSSEN,TUBOBELEM,Oren,4924,110028,11,(971) 865-4062,F,2023,967 W. Alton Ave.,(672) 292-6414,11/18/2005,(840) 376-7278,jhardin@msn.com,FALSE,Business Management,Pre-AP English I;Pre-AP English II;Journalism;Algebra I;Geometry;World Geography;World History;Biology;Chemistry;Business Information Management I;Business Law;Virtual Business,null;null;null;null;null;null;null;null
CUNNINGHAM,MARLEN,Trey,15115,192774,9,(431) 656-8390,F,2025,8447 Heather Avenue,(239) 684-9224,8/21/2007,(268) 676-3924,noticias@sbcglobal.net,FALSE,Applied Agricultural Engineering,null,null;null;null;null;null;null;null;null
CUNNINGHAM,KEVIN,Dex,4512,105324,12,(953) 969-9814,M,2022,9732 Snake Hill Rd.,(455) 973-3241,12/22/2004,(778) 282-2447,gamma@verizon.net,FALSE,Welding,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Introduction to Welding;Welding I;Welding II,null;null;null;null;null;null;null;null
DANIELS,YVONNE,Drake,15235,193538,9,(713) 451-5636,F,2025,826 S. Maiden Dr.,(375) 674-6013,10/2/2007,(779) 424-4346,erynf@comcast.net,FALSE,Digital Communications,null,null;null;null;null;null;null;null;null
DAVIS,GEMA,Charles,15126,192844,9,(423) 216-6210,F,2025,8442 Hilltop St.,(268) 838-2987,7/13/2007,(791) 608-6539,kimvette@sbcglobal.net,FALSE,Animal Science,null,null;null;null;null;null;null;null;null
DELGADO,MAURICIO,Coy,4868,109401,10,(742) 381-8139,M,2024,9713 Henry Court,(792) 736-2957,6/22/2006,(678) 394-8920,jramio@att.net,FALSE,Applied Agricultural Engineering,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
DIAZ,JOSE,Natalie,5798,119394,12,(960) 912-7138,M,2022,9392 South Dunbar Street,(874) 895-7179,9/23/2004,(413) 734-8965,tarreau@yahoo.com,FALSE,Architectural Design,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Architecture;Architectural Design I;Architectural Design II,null;null;null;null;null;null;null;null
EVANS,IVAN,Blair,14966,191822,9,(796) 236-8413,M,2025,8640 Studebaker Ave.,(899) 561-0352,9/6/2007,(928) 744-4765,wenzlaff@verizon.net,FALSE,Design and Multimedia Arts,null,null;null;null;null;null;null;null;null
FIGUEROA,JORDAN,Dawn,15134,192895,9,(286) 768-1016,M,2025,8400 Prince St.,(204) 971-2875,3/20/2007,(927) 780-7637,giafly@icloud.com,FALSE,Business Management,null,null;null;null;null;null;null;null;null
FISHER,KATHERINE,Marcellus,25831,252009,10,(580) 411-2724,F,2024,60 Wrangler Lane,(494) 377-2243,9/16/2006,(975) 732-2781,garyjb@comcast.net,FALSE,Design and Multimedia Arts,English I;Algebra I;World Geography;Biology;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
FLETCHER,JONATHAN,Riley,5204,113113,10,(896) 313-5177,M,2024,9542 New Lane,(486) 822-2270,1/27/2006,(966) 927-5287,fmerges@verizon.net,FALSE,Digital Communications,Pre-AP English I;Journalism;Algebra I;World Geography;Biology;Professional Communications;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
FOX,ERIK,Brendon,32218,281446,12,(637) 887-3060,M,2022,24 Glen Eagles Street,(892) 570-2682,12/16/2004,(780) 349-5440,yxing@me.com,FALSE,Plant Science,Pre-AP English I;Pre AP English II;AP English III Language and Composition;Journalism;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Agriculture Food & Natural Resources;Horticultural Science;Floral Design,null;null;null;null;null;null;null;null
FRUTIZ,CHAD,Luke,14761,190503,9,(490) 460-5229,M,2025,886 Bear Hill Dr.,(566) 302-1768,4/1/2007,(352) 466-3395,dcoppit@yahoo.com,FALSE,Welding,null,null;null;null;null;null;null;null;null
GARCIA,KANTAPONG,Ricardo,34038,289286,10,(839) 482-2576,M,2024,136 Country Club St.,(929) 543-5740,10/6/2006,(860) 759-6251,storerm@hotmail.com,FALSE,Accounting and Financial Services,English I;Journalism;Algebra I;World Geography;Biology;Principles of Business; Marketing; and Finance,null;null;null;null;null;null;null;null
GARCIA,ANAYA,Justin,33221,285793,9,(821) 674-3637,F,2025,2 Talbot St.,(903) 255-0641,7/5/2007,(784) 664-3816,madler@att.net,FALSE,Electrical,null,null;null;null;null;null;null;null;null
GARCIA,JAVOY,Dean,28910,266606,9,(932) 975-0359,M,2025,4 Stillwater Street,(917) 243-5419,5/4/2007,(225) 682-4163,eabrown@yahoo.com,FALSE,Applied Agricultural Engineering,null,null;null;null;null;null;null;null;null
GARCIA,ERIC,Claudia,27952,262151,9,(739) 520-6613,M,2025,52 Edgefield St.,(247) 843-1078,8/22/2007,(878) 596-1596,thomasj@mac.com,FALSE,Animal Science,null,null;null;null;null;null;null;null;null
GARCIA CRUZ,ANTHONY,Marcella,26608,255771,9,(530) 371-8487,M,2025,59 Madison Avenue,(483) 941-2086,7/17/2007,(283) 219-9707,aprakash@verizon.net,FALSE,Applied Agricultural Engineering,null,null;null;null;null;null;null;null;null
GARZA,JAVARIUS,Caprice,32071,280803,9,(215) 817-6380,M,2025,252 Honey Creek St.,(869) 247-1307,7/22/2007,(401) 845-7729,monkeydo@icloud.com,FALSE,Applied Agricultural Engineering,null,null;null;null;null;null;null;null;null
GAUCIN,MARQUISTE,Louisa,22255,233915,11,(593) 203-1995,M,2023,69 Bridgeton Drive,(989) 592-9858,11/3/2005,(870) 663-7178,jorgb@verizon.net,FALSE,Architectural Design,Pre-AP English I;Pre-AP English II;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Principles of Architecture;Architectural Design I,null;null;null;null;null;null;null;null
GIBSON,YENITZA,Amity,15267,193741,9,(931) 843-0415,F,2025,82 Wakehurst Street,(226) 764-5567,2/26/2007,(470) 844-3719,comdig@mac.com,FALSE,Accounting and Financial Services,null,null;null;null;null;null;null;null;null
GODINEZ GODINEZ,JO-ELLA,Bram,18569,213668,10,(826) 224-8102,F,2024,7745 Clark St.,(588) 656-1137,10/17/2006,(233) 325-6114,moxfulder@aol.com,FALSE,Animal Science,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
GOMEZ JIMENEZ,LIZBETH,Porter,34558,291487,10,(494) 400-5882,F,2024,1 N. Manor Street,(602) 670-8344,11/16/2006,(298) 920-2826,kostas@aol.com,FALSE,Applied Agricultural Engineering,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
GONZALES,BRITNEY,Amelia,19611,219581,12,(353) 700-1684,F,2022,731 S. Front Ave.,(829) 485-5768,2/25/2004,(497) 706-0499,stefano@gmail.com,FALSE,Architectural Design,English I;English II;English III;Journalism;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Architecture;Architectural Design I;Architectural Design II,null;null;null;null;null;null;null;null
GONZALEZ,DERRICK,Oscar,30144,272236,11,(992) 776-9136,M,2023,37 Depot Avenue,(300) 240-0051,11/1/2005,(633) 721-5417,dmiller@me.com,FALSE,Welding,English I; English II;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Introduction to Welding;Welding I,null;null;null;null;null;null;null;null
GONZALEZ,FELIX,Caleb,24362,244738,10,(468) 438-9400,M,2024,623 Manor Ave.,(841) 325-1580,8/16/2006,(580) 683-6797,bruck@hotmail.com,FALSE,Architectural Design,English I;Algebra I;World Geography;Biology;Principles of Architecture,null;null;null;null;null;null;null;null
GONZALEZ,MASON,George,20391,223905,12,(429) 528-8339,M,2022,7222 Wayne St.,(641) 898-5155,11/8/2004,(725) 517-8559,philb@sbcglobal.net,FALSE,Design and Multimedia Arts,Pre-AP English I;Pre AP English II;AP English III Language and Composition;Journalism;Algebra I;Geometry;Algebra II;World Geography;World History;Biology;Chemistry;Physics;Principles of Arts Audio/Video Technology and Communications;Graphic Design and Illustration I;Graphic Design and Illustration II with Lab,null;null;null;null;null;null;null;null
GRIFFITH,REBECA,Kingston,34455,291053,9,(593) 742-9002,F,2025,12 6th Drive,(252) 951-6001,4/1/2007,(547) 914-3662,wortmanj@hotmail.com,FALSE,Digital Communications,null,null;null;null;null;null;null;null;null
GUTIERREZ,BRAYLYNN,Warren,25938,252530,10,(811) 225-1595,F,2024,6 Littleton Court,(226) 498-1807,4/3/2006,(494) 481-9414,cfhsoft@optonline.net,FALSE,Digital Communications,English I;Algebra I;World Geography;Biology;Professional Communications;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
GUTIERREZ,TERRY,William,6174,123205,10,(473) 327-5996,M,2024,9384 N. St Paul Dr.,(362) 372-6627,9/9/2006,(657) 285-7721,campware@aol.com,FALSE,Architectural Design,English I;Algebra I;World Geography;Biology;Principles of Architecture,null;null;null;null;null;null;null;null
HALL,ANTONIO,Zane,27377,259441,10,(210) 760-8133,M,2024,54 Court St.,(962) 288-5784,3/7/2006,(434) 270-2450,atmarks@verizon.net,FALSE,Animal Science,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
HENRY,YARELYS,Porter,15247,193614,9,(515) 224-4784,F,2025,8258 W. Court Dr.,(918) 759-0780,7/24/2007,(783) 643-8891,symbolic@icloud.com,FALSE,Digital Communications,null,null;null;null;null;null;null;null;null
HERNANDEZ,BRADLEY,Sutton,6428,125714,10,(977) 338-5127,M,2024,928 Wild Rose Ave.,(922) 259-8350,5/9/2006,(698) 897-2758,ntegrity@mac.com,FALSE,Applied Agricultural Engineering,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
HOUGHTON,NANCY,Blake,15625,196000,9,(357) 893-6619,F,2025,7977 Sulphur Springs Dr.,(841) 230-8234,4/16/2007,(262) 645-0689,crobles@outlook.com,FALSE,Business Management,null,null;null;null;null;null;null;null;null
JENKINS,ANTHONY,Sharon,26473,255121,12,(546) 363-8725,M,2022,594 Paris Hill Drive,(737) 873-3173,1/18/2004,(990) 268-1368,hellfire@hotmail.com,FALSE,Digital Communications,Pre-AP English I;Pre AP English II;AP English III Language and Composition;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Professional Communications;Audio/Video Production I;Audio/Video Production II;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
JIMENEZ,JORDAN,Abe,23640,241084,12,(441) 862-1541,M,2022,635 High Noon St.,(976) 666-0906,2/25/2004,(756) 597-1357,jamuir@live.com,TRUE,Electrical,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;World History;Biology;Chemistry;Physics;Principles of Architecture;Architectural Design I;Electrical Technology I,null;null;null;null;null;null;null;null
KLEIN,CHRISTOPHER,Jolee,6341,124860,12,(391) 493-3347,M,2022,9307 Miles Ave.,(312) 850-6326,2/22/2004,(656) 568-4414,chance@optonline.net,FALSE,Applied Agricultural Engineering,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Agriculture Food & Natural Resources;Agricultural Mechanics and Metal Technologies (NCCER Certification),null;null;null;null;null;null;null;null
KLEIN,ANGEL,Henry,6340,124850,10,(517) 837-5426,M,2024,9309 Joy Ridge Ave.,(226) 929-8297,4/17/2006,(400) 821-3325,jgoerzen@hotmail.com,FALSE,Accounting and Financial Services,English I;Journalism;Algebra I;World Geography;Biology;Principles of Business; Marketing; and Finance,null;null;null;null;null;null;null;null
LOVE,SHARY,Orlando,30992,276039,9,(750) 833-0986,F,2025,306 N. Rockland Court,(432) 953-6067,5/18/2007,(668) 452-1408,sthomas@comcast.net,FALSE,Accounting and Financial Services,null,null;null;null;null;null;null;null;null
LUNA,ISAIAH,Sutton,30340,273120,9,(475) 290-6290,M,2025,354 SW. Tunnel Street,(894) 590-7471,5/4/2007,(853) 438-1647,kludge@gmail.com,FALSE,Animal Science,null,null;null;null;null;null;null;null;null
MACK,CRISTIAN,Kaitlin,6455,125977,10,(622) 631-9063,M,2024,9266 N. Hickory Ave.,(446) 316-0694,11/19/2006,(247) 359-6517,phish@msn.com,FALSE,Animal Science,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
MAGALLON CHAVEZ,QUINCY,Michael,25979,252730,12,(382) 574-4336,M,2022,598 Spring St.,(655) 515-5694,1/20/2004,(614) 516-5334,mbalazin@msn.com,FALSE,Electrical,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;World History;Biology;Chemistry;Physics;Principles of Architecture;Architectural Design I;Electrical Technology I,null;null;null;null;null;null;null;null
MARTINEZ,SIAH,Kingston,15193,289537,10,(615) 729-0381,F,2023,13 South Trenton St.,(287) 400-2188,3/12/2005,(772) 845-4478,sagal@gmail.com,FALSE,Business Management,English I;Algebra I;World Geography;Biology;Business Information Management I,null;null;null;null;null;null;null;null
MARTINEZ,DESTINY,Paul,33534,287136,11,(560) 981-5703,F,2023,183 Wood St.,(535) 895-9833,9/19/2005,(560) 603-2684,microfab@gmail.com,FALSE,Welding,Pre-AP English I;Pre-AP English II;Journalism;Algebra I;Geometry;World Geography;World History;Biology;Chemistry;Introduction to Welding;Welding I,null;null;null;null;null;null;null;null
MARTINEZ,DANQUINEASHA,Judd,34097,193271,11,(944) 425-1659,F,2024,8379 Virginia Rd.,(661) 501-9009,10/17/2006,(377) 824-6604,ivoibs@outlook.com,FALSE,Electrical,English I;English II;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Principles of Architecture;Architectural Design I,null;null;null;null;null;null;null;null
MARTINEZ MEJIA,MARKETTA,Troy,33624,287521,11,(792) 365-1942,F,2023,177 East Brookside Street,(216) 880-7772,9/1/2005,(864) 898-6451,ntegrity@verizon.net,FALSE,Animal Science,English I;English II;Algebra I;Geometry;World Geography;AP World History;Biology;Chemistry;Principles of Agriculture Food & Natural Resources;Samll Animal Management;Equine Science;Livestock Production,null;null;null;null;null;null;null;null
MATA,JULIUS,Tavian,32073,280812,10,(316) 806-2066,M,2024,25 Rocky River Street,(957) 398-2428,7/26/2006,(958) 536-9061,mstrout@me.com,FALSE,Accounting and Financial Services,English I;Algebra I;World Geography;Biology;Principles of Business; Marketing; and Finance,null;null;null;null;null;null;null;null
MAXWELL,DANIELA,Candice,6539,126794,10,(734) 595-1482,F,2024,9232 Newbridge Drive,(203) 377-7379,2/9/2006,(503) 534-7527,parsimony@yahoo.ca,FALSE,Business Management,Pre-AP English I;Algebra I;World Geography;Biology;Business Information Management I,null;null;null;null;null;null;null;null
MAY,DIGNA,Gavin,30819,275267,12,(865) 411-5800,F,2022,32 Catherine Court,(783) 500-8481,12/18/2004,(423) 541-3244,tbusch@sbcglobal.net,FALSE,Applied Agricultural Engineering,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Agriculture Food & Natural Resources;Agricultural Mechanics and Metal Technologies (NCCER Certification),null;null;null;null;null;null;null;null
MCCORMICK,BRYCE,Louis,3327,90442,12,(201) 465-9058,M,2022,9861 Gregory Drive,(544) 887-2273,2/5/2004,(591) 696-8691,wojciech@gmail.com,FALSE,Architectural Design,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Architecture;Architectural Design I;Architectural Design II,null;null;null;null;null;null;null;null
MCDANIEL,THADDEUS,Haiden,32022,280588,10,(987) 663-4103,M,2024,26 Plymouth St.,(861) 269-8492,6/20/2006,(266) 214-2660,wetter@att.net,FALSE,Electrical,English I;Journalism;Algebra I;World Geography;Biology;Principles of Architecture,null;null;null;null;null;null;null;null
